Tip;Hesap_Adi;Tarih;Açıklama;Tutar
Banka Hesabı;QNB - Vadesiz Kobi Nakit;22/08/2025;Kart İşlemleri - İşyeri:092800000013185 (Satış) N222 FAST NOTONUS SATIŞ İşlemi;375
Banka Hesabı;QNB - Vadesiz Kobi Nakit;22/08/2025;Kart İşlemleri - İşyeri:092800000013185 (Satış) O033 QNB Kredi Kartı İşlemi;630
Banka Hesabı;QNB - Vadesiz Kobi Nakit;22/08/2025;Kart İşlemleri - İşyeri:092800000013185 (Satış) N003 Yurt İçi Kredi Kartı İşlemi;24725
Banka Hesabı;QNB - Vadesiz Kobi Nakit;22/08/2025;Kart İşlemleri - İşyeri:092800000013185 (Satış) N001 Yurt İçi Banka Kartı İşlemi;12345
Banka Hesabı;QNB - Vadesiz Kobi Nakit;22/08/2025;Kart İşlemleri - İşyeri:092800000013185 (Satış) O138 QNB Banka Kartı İşlemi;1980
Banka Hesabı;QNB - Vadesiz Kobi Nakit;23/08/2025;Kart İşlemleri - İşyeri:092800000013185 (Satış) N222 FAST NOTONUS SATIŞ İşlemi;425
Banka Hesabı;QNB - Vadesiz Kobi Nakit;23/08/2025;Kart İşlemleri - İşyeri:092800000013185 (Satış) O033 QNB Kredi Kartı İşlemi;4400
Banka Hesabı;QNB - Vadesiz Kobi Nakit;23/08/2025;Kart İşlemleri - İşyeri:092800000013185 (Satış) N003 Yurt İçi Kredi Kartı İşlemi;16160
Banka Hesabı;QNB - Vadesiz Kobi Nakit;23/08/2025;Kart İşlemleri - İşyeri:092800000013185 (Satış) N001 Yurt İçi Banka Kartı İşlemi;15490
Banka Hesabı;QNB - Vadesiz Kobi Nakit;23/08/2025;Kart İşlemleri - İşyeri:092800000013185 (Satış) O138 QNB Banka Kartı İşlemi;4035
Banka Hesabı;QNB - Vadesiz Kobi Nakit;24/08/2025;Kart İşlemleri - İşyeri:092800000013185 (Satış) N002 Yurt Dışı Banka Kartı İşlemi;1170
Banka Hesabı;QNB - Vadesiz Kobi Nakit;24/08/2025;Kart İşlemleri - İşyeri:092800000013185 (Satış) N002 Yurt Dışı Banka Kartı Üye İşyeri Ücreti - Peşin;-22,23
Banka Hesabı;QNB - Vadesiz Kobi Nakit;24/08/2025;Kart İşlemleri - İşyeri:092800000013185 (Satış) N002 Yurt Dışı Banka Kartı İşlemi BSMV;-1,11
Banka Hesabı;QNB - Vadesiz Kobi Nakit;24/08/2025;Kart İşlemleri - İşyeri:092800000013185 (Satış) N222 FAST NOTONUS SATIŞ İşlemi;1440
Banka Hesabı;QNB - Vadesiz Kobi Nakit;24/08/2025;Kart İşlemleri - İşyeri:092800000013185 (Satış) O218 FAST ONUS SATIŞ İşlemi;580
Banka Hesabı;QNB - Vadesiz Kobi Nakit;24/08/2025;Kart İşlemleri - İşyeri:092800000013185 (Satış) O033 QNB Kredi Kartı İşlemi;2765
Banka Hesabı;QNB - Vadesiz Kobi Nakit;24/08/2025;Kart İşlemleri - İşyeri:092800000013185 (Satış) N003 Yurt İçi Kredi Kartı İşlemi;20840
Banka Hesabı;QNB - Vadesiz Kobi Nakit;24/08/2025;Kart İşlemleri - İşyeri:092800000013185 (Satış) N001 Yurt İçi Banka Kartı İşlemi;12170
Banka Hesabı;QNB - Vadesiz Kobi Nakit;24/08/2025;Kart İşlemleri - İşyeri:092800000013185 (Satış) O138 QNB Banka Kartı İşlemi;670
Banka Hesabı;QNB - Vadesiz Kobi Nakit;25/08/2025;Kart İşlemleri - İşyeri:092800000013185 (Satış) N222 FAST NOTONUS SATIŞ İşlemi;270
Banka Hesabı;QNB - Vadesiz Kobi Nakit;25/08/2025;Kart İşlemleri - İşyeri:092800000013185 (Satış) O033 QNB Kredi Kartı İşlemi;4065
Banka Hesabı;QNB - Vadesiz Kobi Nakit;25/08/2025;Kart İşlemleri - İşyeri:092800000013185 (Satış) N003 Yurt İçi Kredi Kartı İşlemi;23265
Banka Hesabı;QNB - Vadesiz Kobi Nakit;25/08/2025;Kart İşlemleri - İşyeri:092800000013185 (Satış) N001 Yurt İçi Banka Kartı İşlemi;11275
Banka Hesabı;QNB - Vadesiz Kobi Nakit;25/08/2025;Kart İşlemleri - İşyeri:092800000013185 (Satış) O138 QNB Banka Kartı İşlemi;1495
Banka Hesabı;QNB - Vadesiz Kobi Nakit;25/08/2025;Transfer İşlemleri - Alıcı:Gümüşbulut Danışmanlık Turizm Gıda Sanay-Hesaptan hesaba havale Al.Hs:91739448 Mobil Bankacılı;-150000
