Tip,Hesap_Adi,Tarih,Açıklama,Tutar
Banka Hesabı,QNB - Vadesiz Kobi Nakit,03/08/2025,Kart İşlemleri - İşyeri:092800000013185 (Satış) O033 QNB Kredi Kartı İşlemi,2155.00
Banka Hesabı,QNB - Vadesiz Kobi Nakit,03/08/2025,Kart İşlemleri - İşyeri:092800000013185 (Satış) N003 Yurt İçi Kredi Kartı İşlemi,23600.00
Banka Hesabı,QNB - Vadesiz Kobi Nakit,03/08/2025,Kart İşlemleri - İşyeri:092800000013185 (Satış) N001 Yurt İçi Banka Kartı İşlemi,13410.00
Banka Hesabı,QNB - Vadesiz Kobi Nakit,03/08/2025,Kart İşlemleri - İşyeri:092800000013185 (Satış) O138 QNB Banka Kartı İşlemi,395.00
Banka Hesabı,QNB - Vadesiz Kobi Nakit,04/08/2025,Kart İşlemleri - İşyeri:092800000013185 (Satış) N222 FAST NOTONUS SATIŞ İşlemi,1145.00
Banka Hesabı,QNB - Vadesiz Kobi Nakit,04/08/2025,Kart İşlemleri - İşyeri:092800000013185 (Satış) O033 QNB Kredi Kartı İşlemi,2345.00
Banka Hesabı,QNB - Vadesiz Kobi Nakit,04/08/2025,Kart İşlemleri - İşyeri:092800000013185 (Satış) N003 Yurt İçi Kredi Kartı İşlemi,18060.00
Banka Hesabı,QNB - Vadesiz Kobi Nakit,04/08/2025,Kart İşlemleri - İşyeri:092800000013185 (Satış) N001 Yurt İçi Banka Kartı İşlemi,18445.00
Banka Hesabı,QNB - Vadesiz Kobi Nakit,04/08/2025,Kart İşlemleri - İşyeri:092800000013185 (Satış) O138 QNB Banka Kartı İşlemi,1570.00
Banka Hesabı,QNB - Vadesiz Kobi Nakit,05/08/2025,Kart İşlemleri - İşyeri:092800000013185 (Satış) O033 QNB Kredi Kartı İşlemi,1215.00
Banka Hesabı,QNB - Vadesiz Kobi Nakit,05/08/2025,Kart İşlemleri - İşyeri:092800000013185 (Satış) N003 Yurt İçi Kredi Kartı İşlemi,18820.00
Banka Hesabı,QNB - Vadesiz Kobi Nakit,05/08/2025,Kart İşlemleri - İşyeri:092800000013185 (Satış) N001 Yurt İçi Banka Kartı İşlemi,7490.00
Banka Hesabı,QNB - Vadesiz Kobi Nakit,05/08/2025,Kart İşlemleri - İşyeri:092800000013185 (Satış) O138 QNB Banka Kartı İşlemi,2185.00
Banka Hesabı,QNB - Vadesiz Kobi Nakit,05/08/2025,Transfer İşlemleri - Alıcı:Gümüşbulut Danışmanlık Turizm Gıda Sanay-Hesaptan hesaba havale Al.Hs:91739448 Mobil Bankacılı,-195672.17
Banka Hesabı,QNB - Vadesiz Kobi Nakit,06/08/2025,Kart İşlemleri - İşyeri:092800000013185 (Satış) N222 FAST NOTONUS SATIŞ İşlemi,800.00
Banka Hesabı,QNB - Vadesiz Kobi Nakit,06/08/2025,Kart İşlemleri - İşyeri:092800000013185 (Satış) O033 QNB Kredi Kartı İşlemi,2630.00
Banka Hesabı,QNB - Vadesiz Kobi Nakit,06/08/2025,Kart İşlemleri - İşyeri:092800000013185 (Satış) N003 Yurt İçi Kredi Kartı İşlemi,23900.00
Banka Hesabı,QNB - Vadesiz Kobi Nakit,06/08/2025,Kart İşlemleri - İşyeri:092800000013185 (Satış) N001 Yurt İçi Banka Kartı İşlemi,9180.00
Banka Hesabı,QNB - Vadesiz Kobi Nakit,06/08/2025,Kart İşlemleri - İşyeri:092800000013185 (Satış) O138 QNB Banka Kartı İşlemi,1525.00
Banka Hesabı,QNB - Vadesiz Kobi Nakit,07/08/2025,Kart İşlemleri - İşyeri:092800000013185 (Satış) O033 QNB Kredi Kartı İşlemi,2980.00
Banka Hesabı,QNB - Vadesiz Kobi Nakit,07/08/2025,Kart İşlemleri - İşyeri:092800000013185 (Satış) N003 Yurt İçi Kredi Kartı İşlemi,15140.00
